Version 2026.07.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item Status,Item Number,UPC,Item Description, 2026 MSRP , 2026 MAP ,"Unpackaged Item Dimensions
(L"" x W"" x H"")","Unpackaged Item Weight 
(pounds)","Packaged Item Dimensions
(L"" x W"" x H"")","Packaged Item Weight
(Pounds)","Inner Box Quantity
(Units)","Inner Box Dimensions
(L"" x W"" x H"")","Master Case Pack Dimensions
(L"" x W"" x H"")","Master Case Pack Weight
(Pounds)","Master Case Pack Quantity
(Units)","Pallet Quantity
(Units)",Country of Manufacture, Caliber(s) , Color , Capacity 
,Magazines,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,,,,,,,,,,,
New ,PGE2BLK,749355071579,"Amend2® Pistol Grip - Enhanced 2 Black Model (No Beavertail, No Grip Screw Included)", $ 19.99 , $ 17.99 ,"3"" x 1.06"" x 4""",0.16 lbs,"5"" x 1.06"" x 7.63""",0.18 lbs,N/A,N/A,"15"" x 13"" x 10""",20 lbs,100,"5,400",USA,N/A,Black,N/A
New ,PGE2CYT,749355071562,"Amend2® Pistol Grip - Enhanced 2 Coyote Brown Model (No Beavertail, No Grip Screw Included)", $ 19.99 , $ 17.99 ,"3"" x 1.06"" x 4""",0.16 lbs,"5"" x 1.06"" x 7.63""",0.18 lbs,N/A,N/A,"15"" x 13"" x 10""",20 lbs,100,"5,400",USA,N/A,Coyote Brown,N/A
,,,,,,,,,,,,,,,,,,,
New ,PPGBLK,749355071593,"Amend2® Priapus Pistol Grip Black Model (No Beavertail, No Grip Screw Included)", $ 19.99 , $ 17.99 ,"2.19"" x 1.38"" x 4.06""",0.18 lbs,"5"" x 1.38"" x 7.63""",0.20 lbs,N/A,N/A,"15"" x 13"" x 10""",22 lbs,100,"5,400",USA,N/A,Black,N/A
New ,PPGCYT,749355071586,"Amend2® Priapus Pistol Grip Coyote Brown (No Beavertail, No Grip Screw Included)", $ 19.99 , $ 17.99 ,"2.19"" x 1.38"" x 4.06""",0.18 lbs,"5"" x 1.38"" x 7.63""",0.20 lbs,N/A,N/A,"15"" x 13"" x 10""",22 lbs,100,"5,400",USA,N/A,Coyote Brown,N/A
,Grip Modules,,,,,,,,,,,,,,,,,,
,SIG SAUER® P320® Grip Modules,,,,,,,,,,,,,,,,,,
Phase Out ,A2A320HYBRID,685757245678,Amend2® S300 Hybrid Grip Module designed for use with a SIG SAUER® P320® Fire Control Unit and a SIG SAUER® P365® Magazine, $ 34.99 , N/A ,"6.88"" x 1.13"" x 3.19""",0.13 lbs,"7.75"" x  1.63"" x 4.25""",0.26 lbs,N/A,N/A,"23"" x 13"" x 13""",16 lbs,50,N/A,USA,N/A,Black,N/A
,Other Accessories,,,,,,,,,,,,,,,,,,
,Mirage Covers for Suppressors,,,,,,,,,,,,,,,,,,
,"1.5"" Diameter Mirage Covers",,,,,,,,,,,,,,,,,,
New ,SCV1BLK1545,749355072088,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 4.5"" Length", $ 42.99 , $ 39.99 ,"2"" x 2"" x 4.5""",0.25 lbs,"2.75"" x 2.75"" x 9.75""",0.32 lbs,N/A,N/A,TBD,TBD,TBD,TBD,China,N/A,Black,N/A
New ,SCV1BLK1560,749355072095,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 6"" Length", $ 42.99 , $ 39.99 ,"2"" x 2"" x 6""",0.30 lbs,"2.75"" x 2.75"" x 9.75""",0.37 lbs,N/A,N/A,TBD,TBD,TBD,TBD,China,N/A,Black,N/A
New ,SCV1BLK1575,749355072101,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 7.5"" Length", $ 42.99 , $ 39.99 ,"2"" x 2"" x 7.5""",0.35 lbs,"2.75"" x 2.75"" x 9.75""",0.42 lbs,N/A,N/A,TBD,TBD,TBD,TBD,China,N/A,Black,N/A
,Trigger Guards,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16/SR-25/M110/AR-10 Trigger Guards,,,,,,,,,,,,,,,,,,
New ,ARTG1BLK,749355072033,"Amend2® AR-15/M4/M16/SR-25/M110/AR-10 Polymer Trigger Guard - V1, Black (Installation Hardware Included)", $ 8.99 , $ 7.99 ,"2.13"" x 0.63"" x 0.5""",0.01 lbs,"5"" x 0.5"" x 7.63""",0.04 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Black,N/A
,,,,,,,,,,,,,,,,,,,
New ,ARTG1CYT,749355072040,"Amend2® AR-15/M4/M16/SR-25/M110/AR-10 Polymer Trigger Guard - V1, Coyote Brown (Installation Hardware Included)", $ 8.99 , $ 7.99 ,"2.13"" x 0.63"" x 0.5""",0.01 lbs,"5"" x 0.5"" x 7.63""",0.04 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Coyote Brown,N/A
,Stocks,,,,,,,,,,,,,,,,,,
,AR-15/M4/M15/SR-25/M110/AR-10 Stocks,,,,,,,,,,,,,,,,,,
,Amend2® Modular Stock (AMS),,,,,,,,,,,,,,,,,,
,A2AMSBASEBLK,799947619696,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Black Model, $ 49.99 , $ 44.99 ,"7.31"" x 1.81"" x 5.19""",0.49 lbs,"10.25"" x 2.25"" x 9.25""",0.73 lbs,N/A,N/A,"23"" x 13"" x 13""",17 lbs,20,600,USA,N/A,Black,N/A
,A2AMSLOWSBLK,799947619726,Amend2® AMS Modular Mil-Spec Carbine Stock - Lower Storage Only Storage Lite Black Model, $ 64.99 , $ 59.99 ,"7.31"" x 1.81"" x 5.19""",0.62 lbs,"10.25"" x 2.25"" x 9.25""",0.86 lbs,N/A,N/A,"23"" x 13"" x 13""",20 lbs,20,600,USA,N/A,Black,N/A
,,,,,,,,,,,,,,,,,,,
New ,AMSBASECYT,850057645897,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Coyote Brown Model, $ 49.99 , $ 44.99 ,"7.31"" x 1.81"" x 5.19""",0.49 lbs,"10.25"" x 2.25"" x 9.25""",0.73 lbs,N/A,N/A,"23"" x 13"" x 13""",17 lbs,20,600,USA,N/A,Coyote Brown,N/A
New ,AMSLOWSCYT,850057645903,Amend2® AMS Modular Mil-Spec Carbine Stock - Lower Storage Only Storage Lite Coyote Brown Model, $ 64.99 , $ 59.99 ,"7.31"" x 1.81"" x 5.19""",0.62 lbs,"10.25"" x 2.25"" x 9.25""",0.86 lbs,N/A,N/A,"23"" x 13"" x 13""",20 lbs,20,600,USA,N/A,Coyote Brown,N/A
,,,,,,,,,,,,,,,,,,,
,A2AMSBASECBN,799947620012,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Carbon Gray Carbon-Reinforced Model, $ 74.99 , $ 69.99 ,"7.31"" x 1.81"" x 5.19""",0.49 lbs,"10.25"" x 2.25"" x 9.25""",0.73 lbs,N/A,N/A,"23"" x 13"" x 13""",17 lbs,20,600,USA,N/A,Carbon Gray,N/A
,A2AMSLOWSCBN,799947620043,Amend2® AMS Modular Mil-Spec Carbine Stock - Lower Storage Only Storage Lite Carbon Gray Carbon-Reinforced Model, $ 89.99 , $ 84.99 ,"7.31"" x 1.81"" x 5.19""",0.62 lbs,"10.25"" x 2.25"" x 9.25""",0.86 lbs,N/A,N/A,"23"" x 13"" x 13""",20 lbs,20,600,USA,N/A,Carbon Gray,N/A
,Concealed Carry,,,,,,,,,,,,,,,,,,
,Minimalist Concealed Carry Holsters/Accessories,,,,,,,,,,,,,,,,,,
,Self-Defense Tools,,,,,,,,,,,,,,,,,,
New ,SDTOOL,749355071692,Amend2® Reinforced G10 Red Self-Defense Tool, $ 11.99 , $ 9.99 ,"5.44"" x  0.56"" x  0.88""",0.05 lbs,"5.44"" x  0.56"" x  0.88""",0.05 lbs,50,"5.75"" x 5.75"" x 3.13""","15"" x 13"" x 10""",37 lbs,700,"37,800",China,N/A,Red,N/A
,Self-Defense Tool Dealer Point of Sale Display Kit(s),,,,,,,,,,,,,,,,,,
New ,SDTOOLDISP,749355071708,Amend2® Self-Defense Tool POS Display Containing 24 Reinforced G10 Red Self-Defense Tools (Item # SDTOOL),"  See ""SDTOOL""  ","   See ""SDTOOL""   ","  See ""SDTOOL""  ","   See ""SDTOOL""   ","7"" x 5.75"" x 4.25""",1.24 lbs,N/A,N/A,"23"" x 13"" x 13""",23 lbs,18,540,China,N/A,Red,N/A
,Spare Mag Carriers/Holders,,,,,,,,,,,,,,,,,,
,BLTMAG,853828006415,Techna Clip® Universal Belt Rider™ Mag Carrier Minimalist Spare Pistol Magazine Holder, $ 13.99 , $ 11.99 ,"3.5"" x 0.19"" x 1.5""",0.01 lbs,"5.25"" x 0.75"" x 8""",0.09 lbs,5,"9"" x 6"" x 3""","18"" x 13"" x 12""",13 lbs,100,"4,800",China,Multiple,Black,N/A
,PKMAG,853828006347,Techna Clip® Universal Pocket Mag® Carrier Minimalist Spare Pistol Magazine Holder, $ 24.99 , $ 19.99 ,"1.56"" x 0.94"" x 2.75""",0.07 lbs,"5.25"" x 1"" x 8""",0.15 lbs,4,"9"" x 6"" x 3""","18"" x 13"" x 12""",16 lbs,80,"3,840",China,Multiple,Black,N/A
,Techna Carry® Minimalist Holsters,,,,,,,,,,,,,,,,,,
Pre-Order Only ,TCCPX,685757245883,Techna Carry® Minimalist Holster compatible with SCCY® CPX 9mm Luger Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
,TCG2,685757245210,Techna Carry® Minimalist Holster compatible with Taurus® G2/G3 9mm Luger & .40 S&W Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger & .40 S&W,Black,N/A
,TCG4243,685757245180,"Techna Carry® Minimalist Holster compatible with GLOCK® G42, G43, G43x, G48 and Shadow Systems® CR920 .380 ACP & 9mm Luger Pistols", $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,.380 ACP & 9mm Luger,Black,N/A
,TCGLOCK,685757245197,"Techna Carry® Minimalist Holster compatible with GLOCK® Double Stack 9mm Luger, .40 S&W, .45 ACP & 10mm Auto Pistols", $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,"9mm Luger, .40 S&W, .45 ACP & 10mm Auto",Black,N/A
Pre-Order Only ,TCHC,685757245876,Techna Carry® Minimalist Holster compatible with Springfield Armory® Hellcat® (all except the Hellcat® Pro) 9mm Luger Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
,TCLCP,685757245203,Techna Carry® Minimalist Holster compatible with Ruger® LCP® .380 ACP Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,.380 ACP,Black,N/A
Pre-Order Only ,TCLCPII,685757245999,Techna Carry® Minimalist Holster compatible with Ruger® LCP® II .380 ACP Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,.380 ACP,Black,N/A
,TCMP,685757245937,"Techna Carry® Minimalist Holster compatible with Smith & Wesson® M&P® M2.0™ 9mm Luger, .40 S&W & .45 ACP Pistols", $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,"9mm Luger, .40 S&W & .45 ACP",Black,N/A
Pre-Order Only ,TCP320,685757245944,Techna Carry® Minimalist Holster compatible with the SIG SAUER® P320® 9mm Luger Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
,TCP365,685757245227,Techna Carry® Minimalist Holster compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
Pre-Order Only ,TCSDW,685757245968,"Techna Carry® Minimalist Holster compatible with Shadow Systems® MR920, XR920 and DR920 9mm Luger Pistols", $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
,TCSHD,685757245234,"Techna Carry® Minimalist Holster compatible with Smith & Wesson® M&P® Shield™ 9mm Luger, .40 S&W & .45 ACP Pistols", $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,"9mm Luger, .40 S&W & .45 ACP",Black,N/A
Pre-Order Only ,TCSHDEZ,685757245890,Techna Carry® Minimalist Holster compatible with Smith & Wesson® M&P® Shield EZ 9mm Luger Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
Pre-Order Only ,TCTP9,685757245951,Techna Carry® Minimalist Holster compatible with Canik® TP9 9mm Luger Pistols, $ 34.99 , $ 29.99 ,"3.88"" x 2"" x 1.5""",0.08 lbs,"5"" x 1.75"" x 8.25""",0.17 lbs,4,"6"" x 6"" x 6""","23"" x 13"" x 13""",11 lbs,40,"1,200",China,9mm Luger,Black,N/A
,Techna Clip® Concealed Carry Kits (Techna Clip® + Trigger Guard Cover Package),,,,,,,,,,,,,,,,,,
,CCKG2BA,685757245159,Concealed Carry Kit includes Techna Clip® G2BA and Trigger Guard compatible with Taurus® G2 Millenium/Slim Series 9mm Luger & .40 S&W Pistols, $ 49.99 , $ 39.99 ,"5.94"" x 1.69"" x 1.5""",0.08 lbs,"8"" x 1.25"" x 5.25""",0.16 lbs,6,"9"" x 4"" x 5.5""","21"" x 10"" x 12""",13 lbs,60,N/A,China,9mm Luger & .40 S&W,Black,N/A
,CCKG43BRL,685757245135,"Concealed Carry Kit includes Techna Clip® G43BRL and Trigger Guard compatible with GLOCK® Models G43, G43x and G48 9mm Luger Pistols", $ 49.99 , $ 39.99 ,"5.94"" x 1.69"" x 1.5""",0.08 lbs,"8"" x 1.25"" x 5.25""",0.16 lbs,6,"9"" x 4"" x 5.5""","21"" x 10"" x 12""",13 lbs,60,N/A,China,9mm Luger,Black,N/A
,CCKGLOCKBRL,685757245128,"Concealed Carry Kit includes Techna Clip® GLOCKBRL and Trigger Guard compatible with GLOCK® G17, G19, G22, G23, G24, G25, G26, G27, G28, G30S, G31, G32, G34, G35, G36, G41 and G45 9mm Luger & .40 S&W Pistols", $ 49.99 , $ 39.99 ,"5.94"" x 1.69"" x 1.5""",0.08 lbs,"8"" x 1.25"" x 5.25""",0.16 lbs,6,"9"" x 4"" x 5.5""","21"" x 10"" x 12""",13 lbs,60,N/A,China,9mm Luger & .40 S&W,Black,N/A
,CCKLCPBR,685757245142,Concealed Carry Kit includes Techna Clip® LCPBR and Trigger Guard compatible with Ruger® .380 LCP® Pistols, $ 49.99 , $ 39.99 ,"5.94"" x 1.69"" x 1.5""",0.08 lbs,"8"" x 1.25"" x 5.25""",0.16 lbs,6,"9"" x 4"" x 5.5""","21"" x 10"" x 12""",13 lbs,60,N/A,China,.380 ACP,Black,N/A
,CCKP365BA,685757245166,Concealed Carry Kit includes Techna Clip® P365BA and Trigger Guard compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols, $ 49.99 , $ 39.99 ,"5.94"" x 1.69"" x 1.5""",0.08 lbs,"8"" x 1.25"" x 5.25""",0.16 lbs,6,"9"" x 4"" x 5.5""","21"" x 10"" x 12""",13 lbs,60,N/A,China,9mm Luger,Black,N/A
,CCKSHBR,685757245173,Concealed Carry Kit includes Techna Clip® SHBR and Trigger Guard compatible with Smith & Wesson® M&P® Shield™ 9mm Luger & .40 S&W Pistols, $ 49.99 , $ 39.99 ,"5.94"" x 1.69"" x 1.5""",0.08 lbs,"8"" x 1.25"" x 5.25""",0.16 lbs,6,"9"" x 4"" x 5.5""","21"" x 10"" x 12""",13 lbs,60,N/A,China,9mm Luger & .40 S&W,Black,N/A
,Techna Clip® Minimalist Holsters,,,,,,,,,,,,,,,,,,
,BDGBR,853828006088,Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® Bodyguard .380 ACP Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,".22 LR, .22 Mag, .357 Magnum, .38 Special",Black,N/A
,COMBR,853828006194,Techna Clip® Minimalist Holster compatible with 1911 Full Size .45 ACP Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.45 ACP,Black,N/A
,DBBR,853828006095,Techna Clip® Minimalist Holster compatible with Diamondback® DB380/DB9 .380 ACP & 9mm Luger Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP & 9mm Luger,Black,N/A
,DEFBR,853828006200,Techna Clip® Minimalist Holster compatible with 1911 Compact .45 ACP Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.45 ACP,Black,N/A
,G2BA,853828006330,Techna Clip® Minimalist Holster compatible with Taurus® G2 Millennium/Slim Series 9mm Luger & .40 S&W Pistols (Ambi), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger & .40 S&W,Black,N/A
,G42BRL,853828006026,Techna Clip® Minimalist Holster compatible with GLOCK® G42 .380 ACP Pistols (Ambi), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP,Black,N/A
,G43BRL,853828006002,"Techna Clip® Minimalist Holster compatible with GLOCK® G43, G43x and G48 9mm Luger Pistols (Ambi)", $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
Discontinued ,GLOCK10BRL,685757245470,"Techna Clip® Minimalist Holster compatible with GLOCK® G20, G21, G21SF, G29, G29SF, G30, G30SF, G37, G38, G39 and G40 .45 ACP & 10mm Auto Pistols (Ambi)",,,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.45 ACP & 10mm Auto,Black,N/A
,GLOCKBRL,853828006033,"Techna Clip® Minimalist Holster compatible with GLOCK® G17, G19, G22, G23, G24, G25, G26, G27, G28, G30S, G31, G32, G34, G35, G36, G41, G41 MOS, G45 and PSA Dagger 9mm Luger & .40 S&W Pistols (Ambi)", $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger & .40 S&W,Black,N/A
New ,GX4BA,799947620135,Techna Clip® Minimalist Holster compatible with Taurus® GX4™ 9mm Luger Pistols (Ambi), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
,HELLCATBA,685757245487,Techna Clip® Minimalist Holster compatible with Springfield Armory® Hellcat® 9mm Luger Pistols (Ambi), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
Discontinued ,JFRBR,853828006187,Techna Clip® Minimalist Holster compatible with Smith & Wesson® J-Frame Pistols (Right-Side),,,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP,Black,N/A
,KHRBR,853828006101,Techna Clip® Minimalist Holster compatible with Kahr® 9mm Luger & .40 S&W Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger & .40 S&W,Black,N/A
,LC9BL,853828006224,Techna Clip® Minimalist Holster compatible with Ruger® LC9® 9mm Luger Pistols (Left-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
,LC9BR,853828006071,Techna Clip® Minimalist Holster compatible with Ruger® LC9® 9mm Luger Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
,LC9SBR,853828006149,Techna Clip® Minimalist Holster compatible with Ruger® LC9S®/EC9S® 9mm Luger Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
,LCPBL,853828006132,Techna Clip® Minimalist Holster compatible with Ruger® LCP® .380 ACP Pistols (Left-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP,Black,N/A
,LCPBR,853828006125,Techna Clip® Minimalist Holster compatible with Ruger® LCP® .380 ACP Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP,Black,N/A
,LCPIIBR,853828006279,Techna Clip® Minimalist Holster compatible with Ruger® LCP® ll .380 ACP Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP,Black,N/A
Discontinued ,MIC9BR,853828006439,Techna Clip® Minimalist Holster compatible with Kimber® Micro 9 9mm Luger Pistols (Right-Side),,,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
Discontinued ,MPBA,853828006293,"Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® M2.0™ 9mm Luger, .40 S&W & .45 ACP Pistols (Ambi) ",,,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,"9mm Luger, .40 S&W & .45 ACP",Black,N/A
,NABR,853828006019,Techna Clip® Minimalist Holster compatible with Beretta® Nano® 9mm Luger Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
,P238BR,853828006156,Techna Clip® Minimalist Holster compatible with SIG SAUER® P238® .380 ACP Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,.380 ACP,Black,N/A
,P320BA,853828006408,Techna Clip® Minimalist Holster compatible with SIG SAUER® P320® 9mm Luger Pistols (Right-Side), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
,P365BA,853828006477,Techna Clip® Minimalist Holster compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols (Ambi), $ 34.99 , $ 24.99 ,"2.5"" x 0.94"" x 0.63""",0.04 lbs,"5.25"" x 0.63"" x 8""",0.13 lbs,6,"9"" x 6"" x 3""","18"" x 13"" x 12""",20 lbs,120,"5,760",China,9mm Luger,Black,N/A
