Version 2026.07.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item Status,Item Number,UPC,Item Description, 2026 MSRP , 2026 MAP ,"Unpackaged Item Dimensions
(L"" x W"" x H"")","Unpackaged Item Weight 
(pounds)","Packaged Item Dimensions
(L"" x W"" x H"")","Packaged Item Weight
(Pounds)","Inner Box Quantity
(Units)","Inner Box Dimensions
(L"" x W"" x H"")","Master Case Pack Dimensions
(L"" x W"" x H"")","Master Case Pack Weight
(Pounds)","Master Case Pack Quantity
(Units)","Pallet Quantity
(Units)",Country of Manufacture, Caliber(s) , Color , Capacity 
,Magazines,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,,,,,,,,,,,
New ,556MOD3CYT30,799947619788,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown 30-Round Magazine, $ 15.99 , $ 12.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
,7.62x35mm/.300 AAC Blackout Magazines,,,,,,,,,,,,,,,,,,
,300MOD3BLK30,799947619801,Amend2® AR-15/M4/M16 7.62x35/.300 AAC Blackout Mod-3 Black 30-Round Magazine, $ 16.99 , $ 13.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,7.62x35mm/.300 AAC Blackout,Black,30-Rounds
,,,,,,,,,,,,,,,,,,,
New ,300MOD3CYT30,799947619818,Amend2® AR-15/M4/M16 7.62x35/.300 AAC Blackout Mod-3 Coyote Brown 30-Round Magazine, $ 16.99 , $ 13.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,7.62x35mm/.300 AAC Blackout,Coyote Brown,30-Rounds
,Mod-A Magazines,,,,,,,,,,,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,,,,,,,,,,,
New ,556MODAB25030,749355072132,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed ""250 Years Strong"" 30-Round Magazine", $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODABBSW30,749355072149,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Bulgarian Splinter Wetland Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODABCOW30,749355072200,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Cow ""Got Ammo?"" 30-Round Magazine", $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
