Item Number / SKU,File Name,Link
556MODABUTS30,556MODABUTS30 - AR-15 5.56 Mod-A Black Custom UV-Printed Urban Tiger Stripe Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1dp1mpDmoDRJUejk8uYqa0wCd8_3bVFik/view?usp=drivesdk
556MODACDCC30,556MODACDCC30 - AR-15 5.56 Mod-A Coyote Brown Custom UV-Printed Desert Chocolate Chip Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1LL0lC5Rl8pruFFmu4lzTvMwQLZGN9_-G/view?usp=drivesdk
556MODACDFG30,556MODACDFG30 - AR-15 5.56 Mod-A Coyote Brown Custom UV-Printed Desert Frogskin Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1_anNHlE52YjBM8FsNzM8XE96hYHjGuoa/view?usp=drivesdk
556MODACMBS30,556MODACMBS30 - AR-15 5.56 Mod-A Coyote Brown Custom UV-Printed Maple Bar Sprinkle Donut 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/131tvy8j3hRCBsEa8nhzjqmzEWrYyXmdO/view?usp=drivesdk
556MODACRBS30,556MODACRBS30 - AR-15 5.56 Mod-A Coyote Brown Custom UV-Printed Rhodesian Brushstroke Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1H7DYlcK5EM9dSSqsPP1UlZazpDD0GbVY/view?usp=drivesdk
556MODACYT10,556MODACYT10 - AR-15 5.56 Mod-A Coyote Brown 10rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/17AmxM4icjjZxj8cH6K8UyS2fivpFI_cm/view?usp=drivesdk
556MODACYT20,556MODACYT20 - AR-15 5.56/.300 BO Mod-A Coyote Brown 20rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/12gx7piYZ3mnJvapMFCkJUo-qGyiGWlSy/view?usp=drivesdk
556MODACYT30,556MODACYT30 - AR-15 5.56 Mod-A Coyote Brown 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/17DruBoh7Ng5SMv3o55PDJZD5PcvlimnA/view?usp=drivesdk
556MODCBAN30,556MODCBAN30 - AR-15 5.56 Mod-C Translucent Yellow Custom UV-Printed Banana 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1FyFwbMNAkeC1Xm3uytlm0vvF_NrN0jkA/view?usp=drivesdk
556MODCDTOM30,"556MODCDTOM30 - AR-15 5.56 Mod-C Translucent Yellow Custom UV-Printed ""Don't Tread On Me"" 30rd Magazine Sell Sheet.pdf",https://drive.google.com/file/d/1ctLNS7JWkTjoIha_29IgM_aEL7HGsfnU/view?usp=drivesdk
556MODCGGST30,556MODCGGST30 - AR-15 5.56 Mod-C Translucent Glow-In-The-Dark Custom UV-Printed Tactical Ghost 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/145c6M057l2bJpEgHB7vU5ohcz21TaBXd/view?usp=drivesdk
556MODCGLOW30,556MODCGLOW30 - AR-15 5.56 Mod-C Translucent Glow-In-The-Dark 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1bmtSjpo4EOr2RnE44zTZT-XYoydXzecu/view?usp=drivesdk
556MODCOACN30,556MODCOACN30 - AR-15 5.56 Mod-C Translucent Olive Drab Green Custom UV-Printed Ammo Can 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1EfQCXWTo_HC6WFFdYEXbg5-ElAY4OFg2/view?usp=drivesdk
556MODCODG30,556MODCODG30 - AR-15 5.56 Mod-C Translucent OD Green 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1v8PaoHQIG7PkNSDM_ajHVmuGN6vhiK64/view?usp=drivesdk
556MODCPNK30,556MODCPNK30 - AR-15 5.56 Mod-C Translucent Pink 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/19M0vADglouvccc4obAmeV14YgEXzpDc1/view?usp=drivesdk
