Version 2026.07.01,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item Status,Item Number,UPC,Item Description, Prop 65 Warning Required , Warning for Carcinogen , Identify Carcinogen , Warning for Reproductive Toxin , Identify Reporductive Toxin , Prop 65 Warning Text 
,Magazines,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,
Discontinued ,556MOD3MCT30,850057645880,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Tropic 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556MOD3NEON30,850057645361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Neon Splatter 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556MOD3SBWL30,850057645330,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Steamboat Willie 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,A2MAGDRUMCP,749355071852,"Amend2® 30-Gallon Magazine Display Drum Dump Bin with 50 units of 556BANANA30, 50 units of 556SPRINKLE30, 50 units of 556MOD3FLAG30 & 50 units of 556MODCNEON30 Custom-Printed Magazines",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MOD3B1030,799947619917,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 10/30 10-Round Magazine - Restricted State Compliant,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556MOD3BLK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,A2MAGDRUMMOD3,749355071838,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MOD3BLK30 Magazines,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,556MOD3CYT30,799947619788,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,7.62x35mm/.300 AAC Blackout Magazines,,,,,,,,
,300MOD3BLK30,799947619801,Amend2® AR-15/M4/M16 7.62x35/.300 AAC Blackout Mod-3 Black 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,300MOD3CYT30,799947619818,Amend2® AR-15/M4/M16 7.62x35/.300 AAC Blackout Mod-3 Coyote Brown 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Mod-A Magazines,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,
New ,556MODAB25030,749355072132,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed ""250 Years Strong"" 30-Round Magazine",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABBSW30,749355072149,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Bulgarian Splinter Wetland Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABCOW30,749355072200,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Cow ""Got Ammo?"" 30-Round Magazine",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABDNC30,749355072217,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Desert Night Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MODABJZZ30,749355072224,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Jazz 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABM8130,749355072231,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed M81 Woodland Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABOF30,749355072248,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Original Flecktarn Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABOTS30,749355072255,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Original Tiger Stripe Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODABUTS30,749355072262,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Urban Tiger Stripe Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556MODACDCC30,749355072279,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown Custom UV-Printed Desert Chocolate Chip Camo 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
