,,Amend2 & Techna Clip Rough Item Lead Times,,,,,,,,,,,,,,,,,,,,,,
,,Updated Biweekly,,,,,,,,,,,,,,,,,,,,,,
,,Last updated on 07/27/2026,,,,,,,,,,,,,,,,,,,,,,
order,SKU,Brief Item Description,Status,Rough ETA / Lead Time,Estimated Ship Date,Lead Time - Low,Lead Time - High,Lead Time - Unit,Built From SKU 1,Built From SKU - 2,Built From SKU - 3,Built From SKU - 4,Built From SKU - 5,Built From SKU - 6,Built From SKU - 7,Built From SKU - 8,Customization Add-On (weeks),Max Component Low (helper),Max Component High (helper),Component Is Open-Ended? (helper),Any Component Missing Data?,"Low Date (helper, hidden)","	High Date (helper, hidden)",Ship Date Overdue?
37,556MOD3CVC30,Mod-3 AR-15 5.56/.223 Coyote Brown Custom UV-Printed Vari-Cam Camo 30rd Magazine,Pre-Order Only,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MOD3CYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
38,556MOD3DT130,"Mod-3 AR-15 5.56/.223 Black Custom UV-Printed Trump ""Fight!"" 2024 30rd Magazine",Made to Order,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
39,556MOD3FLAG30,Mod-3 AR-15 5.56/.223 Black Custom UV-Printed American Flag 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
40,556MOD3MC30,Mod-3 AR-15 5.56/.223 Black Custom Hydro-Dipped MultiCam® 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
41,556MOD3MCA30,Mod-3 AR-15 5.56/.223 Black Custom Hydro-Dipped MultiCam® Alpine 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
42,556MOD3MCB30,Mod-3 AR-15 5.56/.223 Black Custom Hydro-Dipped MultiCam® Black 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
43,556MOD3MCT30,Mod-3 AR-15 5.56/.223 Black Custom Hydro-Dipped MultiCam® Tropic 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
44,556MOD3NEON30,Mod-3 AR-15 5.56/.223 Black Custom UV-Printed Neon Splatter 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
45,556MOD3SBWL30,Mod-3 AR-15 5.56/.223 Black Custom UV-Printed Steamboat Willie 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
46,A2MAGDRUMCP,"AR-15 5.56/.223 Magazine Display Drum Dump Bin with 50 556BANANA30, 50 556SPRINKLE30, 50 556MOD3FLAG30 & 50 556MOD3NEON30",Backordered,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556BANANA30,556SPRINKLE30,556MOD3BLK30,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
47,556MOD3B1030,Mod-3 AR-15 5.56/.223 Black 10/30 10rd Magazine - Restricted State Compliant,Backordered,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
48,556MOD3BLK30,Mod-3 AR-15 5.56/.223 Black 30rd Magazine,Backordered,0 - 4 weeks,08/01/2026 - 09/01/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,09/01/2026,FALSE
49,A2MAGDRUMMOD3,Mod-3 AR-15 5.56/.223 Magazine Display Drum Dump Bin with 200 units of 556MOD3BLK30,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
50,556MOD3CYT30,Mod-3 AR-15 5.56/.223 Coyote Brown 30rd Magazine,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 08/29/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,08/29/2026,FALSE
51,300MOD3BLK30,Mod-3 AR-15 .300 Blackout Black 30rd Magazine,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 08/29/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,08/29/2026,FALSE
52,300MOD3CYT30,Mod-3 AR-15 .300 Blackout Coyote Brown 30rd Magazine,Pre-Order Only,17 - 22 weeks,12/01/2026 - 01/01/2027,17,22,Weeks,,,,,,,,,,,,FALSE,FALSE,12/01/2026,01/01/2027,FALSE
53,556MODAB25030,"Mod-A AR-15 5.56/.223 Black Custom UV-Printed ""250 Years Strong"" 30rd Magazine",Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
54,556MODABBSW30,Mod-A AR-15 5.56/.223 Black Custom UV-Printed Bulgarian Splinter Wetland Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
55,556MODABCOW30,"Mod-A AR-15 5.56/.223 Black Custom UV-Printed Cow ""Got Ammo?"" 30rd Magazine",Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
56,556MODABDNC30,Mod-A AR-15 5.56/.223 Black Custom UV-Printed Desert Night Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
57,556MODABJZZ30,Mod-A AR-15 5.56/.223 Black Custom UV-Printed Jazz 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
58,556MODABM8130,Mod-A AR-15 5.56/.223 Black Custom UV-Printed M81 Woodland Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
59,556MODABOF30,Mod-A AR-15 5.56/.223 Black Custom UV-Printed Original Flecktarn Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
60,556MODABOTS30,Mod-A AR-15 5.56/.223 Black Custom UV-Printed Original Tiger Stripe Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
61,556MODABUTS30,Mod-A AR-15 5.56/.223 Black Custom UV-Printed Urban Tiger Stripe Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
